id,dwc:catalogNumber,dwc:recordedBy,dwc:recordNumber,dwc:country,dwc:kingdom,dwc:family,dwc:genus,dwc:specificEpithet,dwc:stateProvince,dwc:eventDate,edit_states,lenghtOfRedcordedBy,year,edit_recordedBy
e31dd298-c835-40cd-a1fc-967adc7d53f7,nha-546954,a. r. hodgdon; g. mckrone,4948,united states,plantae,papaveraceae,sanguinaria,canadensis,new hampshire,1943-05-05T00:00:00+00:00,new hampshire,25,1943,a. r. hodgdon & g. mckrone
ae8bd50b-4345-4ef1-8ef4-9f25a023d9cb,00612110,b. burton; w. gates,,united states,plantae,brassicaceae,raphanus,raphanistrum,massachusetts,1943-08-13T00:00:00+00:00,massachusetts,19,1943,b. burton; w. gates
2539ed53-7c53-4145-a47b-cc7230b8e90d,00226741,h. n. moldenke; m. fulford,15811,united states,plantae,anthocerotaceae,aspiromitus,punctatus,pennsylvania,1943-08-22T00:00:00+00:00,pennsylvania,26,1943,h. n. moldenke; m. fulford
656e4cd2-27b8-4bc3-a19f-89e129b6f8df,00504901,a. r. hodgdon; h. a. giddings,4553,united states,plantae,lauraceae,lindera,benzoin,new hampshire,1943-07-17T00:00:00+00:00,new hampshire,29,1943,a. r. hodgdon & h. a. giddings
167e83be-5d81-4eaf-9c82-38b6234c901b,barcode-00565904,a. r. hodgdon & h. a. giddings,4667,united states,plantae,violaceae,,,new hampshire,1943-07-17T19:43:00-17:00,new hampshire,30,1943,a. r. hodgdon & h. a. giddings
058c2ee4-fc67-443f-b0dc-014ff3f35f20,nysi7598,"taylor, c. a. jr.",3901,united states,plantae,dicranaceae,dicranella,varia,new york,1943-05-05T00:00:00+00:00,new york,17,1943,c. a. taylor jr.
2e8b1935-fa2f-42c0-9124-85aec3ae24ac,conn00135738,burton n. gates & winifred c. gates,,united states,plantae,poaceae,agrostis,scabra,massachusetts,1943-08-06T00:00:00+00:00,massachusetts,25,1943,b. n. gates & w. c. gates
e04c05a4-5d97-4e69-b34e-da9694ef65f1,00249331,r. m. schuster; o. m. schuster & m. mcleod,372,united states,plantae,blasiaceae,blasia,pusilla,new york,1943-09-25T00:00:00+00:00,new york,42,1943,r. m. schuster; o. m. schuster & m. mcleod
4d08ab79-42fa-41c9-9a65-1d9040de52fc,00261212,r. m. schuster; o. m. schuster,258,united states,plantae,geocalycaceae,lophocolea,heterophylla,new york,1943-12-05T00:00:00+00:00,new york,30,1943,r. m. schuster; o. m. schuster
1dd4db80-3535-4d75-b626-5aa74753b58c,236965,"habeeb, herbert; trask; grout, a. j.",43,united states,plantae,amblystegiaceae,leptodictyum,riparium,vermont,1943-07-16T00:00:00+00:00,vermont,36,1943,"habeeb, herbert; trask; grout, a. j."
7bee6ff6-92f0-4948-9cbd-ec8ca3d59564,00564577,buston n. gates;,17464,united states,plantae,fabaceae,melilotus,officinalis,massachusetts,1943-07-11T00:00:00+00:00,massachusetts,16,1943,b. n. gates
f8f0c00f-b10c-48ee-984d-03105ff91f05,conn00129870,burton n. gates & winifred c. gates,17382,united states,plantae,orchidaceae,spiranthes,cernua,massachusetts,1943-09-19T00:00:00+00:00,massachusetts,25,1943,b. n. gates & w. c. gates
cac5f882-6181-47ca-b46d-ec33f6117cc7,90200827,frances e. wynne,2791,united states,plantae,amblystegiaceae,drepanocladus,fluitans,new york,1943-06-26,new york,16,1943,f. e. wynne
c48e3c85-0708-4c59-a7d1-7994b17d12e6,00501435,burton n. gates;,,united states,plantae,asteraceae,,,massachusetts,1943-09-10T00:00:00+00:00,massachusetts,16,1943,b. n. gates
f3dd8d76-6d53-496f-8aea-21603827238c,00448838,ralph carleton bean;,,united states,plantae,brassicaceae,barbarea,vulgaris,massachusetts,1943-07-21T00:00:00+00:00,massachusetts,20,1943,r. c .bean
9be6172b-1b3f-4f5d-8d62-43d0013488aa,conn00030293,"""pease, arthur stanley;""",30335,united states,plantae,asteraceae,euthamia,tenuifolia,massachusetts,1943-10-01T00:00:00+00:00,massachusetts,22,1943,"pease, arthur stanley;"
d285c745-b411-4694-b712-187fed3c3bda,00236211,r. m. schuster; o. m. schuster,140,united states,plantae,lepidoziaceae,bazzania,trilobata,new york,1943-01-23T00:00:00+00:00,new york,30,1943,r. m. schuster; o. m. schuster
