id,dwc:catalogNumber,dwc:recordedBy,dwc:recordNumber,dwc:country,dwc:kingdom,dwc:family,dwc:genus,dwc:specificEpithet,dwc:stateProvince,dwc:eventDate,edit_states,lenghtOfRedcordedBy,year,edit_recordedBy
b62523f6-30ef-42d8-b09d-d52cd034acfe,00606477,d. e. boufford; d. s. conant,22961,united states,plantae,caryophyllaceae,lychnis,flos-cuculi,new hampshire,1982-06-15T00:00:00+00:00,new hampshire,28,1982.0,d. e. boufford & d. s. conant
6b3253e2-726c-4cef-8d6f-34f3b3b9720d,00591247,e. w. wood; d. e. boufford,2315,united states,plantae,lamiaceae,origanum,vulgare,vermont,1975-08-11T00:00:00+00:00,vermont,26,1975.0,d. e. boufford; e. w. wood
2387193e-4fbb-4676-91df-6f35b03a3c94,barcode-00551202,d. e. boufford; e. w. wood & l. schram,15267,united states,plantae,dryopteridaceae,,,new hampshire,,new hampshire,38,,d. e. boufford; e. w. wood & l. schram
2420ec72-0474-4913-b9ad-6ed8bd42f3b9,yu.057101,d. e. boufford; e. w. wood,21135,united states,plantae,poaceae,panicum,lanuginosum,pennsylvania,1979-07-03T00:00:00+00:00,pennsylvania,26,1979.0,d. e. boufford; e. w. wood
c349ea0e-628d-43d1-81f6-7b2f97a162e0,00610717,e. w. wood; d. e. boufford,2274,united states,plantae,brassicaceae,berteroa,incana,vermont,1975-08-11T00:00:00+00:00,vermont,26,1975.0,d. e. boufford; e. w. wood
c35dfb02-e964-42ee-b994-68e72b78504d,00460422,d. e. boufford; y. sun,42899,united states,plantae,plantaginaceae,chaenorhinum,minus,massachusetts,2011-06-09T00:00:00+00:00,massachusetts,22,2011.0,d. e. boufford; y. sun
6d640bc1-dc89-4c25-9664-5f8ffa08c89c,00598792,e. w. wood; d. e. boufford,2352,united states,plantae,rubiaceae,galium,verum,massachusetts,1975-08-12T00:00:00+00:00,massachusetts,26,1975.0,d. e. boufford; e. w. wood
24aeda29-ec7f-4ec7-97f2-ddcd1080ae84,00551553,d. e. boufford; e. w. wood,23305,united states,plantae,woodsiaceae,deparia,acrostichoides,vermont,1983-08-21T00:00:00+00:00,vermont,26,1983.0,d. e. boufford; e. w. wood
d6f7c7b2-dd34-4f76-ab1c-9b30f04ce1f6,00553819,e. w. wood; d. e. boufford,4721,united states,plantae,ericaceae,monotropa,uniflora,new hampshire,1983-08-17T00:00:00+00:00,new hampshire,26,1983.0,d. e. boufford; e. w. wood
16590fb7-aa3a-42a0-9b17-b71bbadca752,yu.050015,d. e. boufford; e. w. wood,21105,united states,plantae,cyperaceae,carex,debilis,pennsylvania,1979-06-18T00:00:00+00:00,pennsylvania,26,1979.0,d. e. boufford; e. w. wood
ad3f95af-dc3b-42fe-b3a7-a21e0b1255bf,00721415,d. e. boufford; e. w. wood,23327,united states,plantae,violaceae,viola,rostrata,vermont,1984-05-21T00:00:00+00:00,vermont,26,1984.0,d. e. boufford; e. w. wood
28014cf0-e82c-429a-9921-d74f6880961b,barcode-00614158,d. e. boufford & e. w. wood,25698,united states,plantae,poaceae,,,new hampshire,,new hampshire,27,,d. e. boufford; e. w. wood
87fb9ff7-f249-4a7b-b620-5e6e3c9e73b1,00587802,d. e. boufford; e. w. wood,23674,united states,plantae,asteraceae,hieracium,piloselloides,vermont,1986-07-04T00:00:00+00:00,vermont,26,1986.0,d. e. boufford; e. w. wood
17be5f00-c30c-411b-8048-4c5d76698c7c,00773879,e. w. wood; d. e. boufford,4700,united states,plantae,aquifoliaceae,ilex,mucronata,vermont,1982-07-03T00:00:00+00:00,vermont,26,1982.0,d. e. boufford; e. w. wood
88e2009f-9a1e-4c72-90dc-50be443f62ef,barcode-00216833,d. e. boufford & e. w. wood,23279,united states,plantae,pteridaceae,adiantum,pedatum,vermont,1983-08-20T00:00:00+00:00,vermont,27,1983.0,d. e. boufford; e. w. wood
8b667171-2530-43c4-aeeb-3227473de9f8,barcode-00447945,d. e. boufford & e. w. wood,25641,united states,plantae,apiaceae,,,vermont,,vermont,27,,d. e. boufford; e. w. wood
