Family,Genus,Species,Infraspecific rank,Infraspecific epithet,Authorship_edit,edited
Compositae,Conyzigeron,huelsenii,,,(Vatke) Rauschert,(Vatke) Rauschert
Compositae,Cirsiocarduus,jaubertianus,,,Arnes,Arnes
Poaceae,Agroelymus,adamsii,,,J.Rousseau,J.Rousseau
Rosaceae,Sorbaronia,alpina,,,(Willd.) C.K.Schneid.,(Willd.) C.K.Schneid.
Poaceae,Elymotrigia,altaica,,,Kotukhov,Kotukhov
Orchidaceae,Gymnanacamptis,anacamptis,,,(F.Wilms) Asch. & Graebn.,(F.Wilms) Asch. & Graebn.
Orchidaceae,Serapicamptis,anatolica,,,(Renz & Taubenheim) J.M.H.Shaw,(Renz & Taubenheim) J.M.H.Shaw
Orchidaceae,Serapicamptis,andaluciana,,,"(B.Baumann & H.Baumann) H.Kretzschmar, Eccarius & H.Dietr.","(B.Baumann & H.Baumann) H.Kretzschmar, Eccarius & H.Dietr."
Orchidaceae,Orchiplatanthera,andreasii,,,Kmpel,Kmpel
Poaceae,Agrotrigia,androssovii,,,(Roshev.) Tzvelev,(Roshev.) Tzvelev
Poaceae,Elyhordeum,arachleicum,,,Peschkova,Peschkova
Orchidaceae,Brassocattleya,arauji,,,Pabst & A.F.Mello,Pabst & A.F.Mello
Orchidaceae,Dactylodenia,aravardii,,,M.Gerbaud & O.Gerbaud,M.Gerbaud & O.Gerbaud
Poaceae,Elyhordeum,arcuatum,,,W.W.Mitch. & H.J.Hodgs.,W.W.Mitch. & H.J.Hodgs.
Rosaceae,Sorbaronia,arsenii,,,(Britton ex L.Arsne) G.N.Jones,(Britton ex L.Arsne) G.N.Jones
Orchidaceae,Pseudinium,aschersonianum,,,(Brgger & Killias) P.F.Hunt,(Brgger & Killias) P.F.Hunt
Orchidaceae,Orchidactylorhiza,atacina,,,(P.Delforge) P.Delforge,(P.Delforge) P.Delforge
Orchidaceae,Orchinea,attica,,,(Hausskn.) F.M.Vzquez,(Hausskn.) F.M.Vzquez
Poaceae,Elymotrigia,austroaltaica,,,Kotukhov,Kotukhov
Poaceae,Elymotrigia,azutavica,,,Kotukhov,Kotukhov
Poaceae,Elymostachys,badachschanica,,,Tzvelev,Tzvelev
Poaceae,Ammocalamagrostis,baltica,,,(Flgg ex Schrad.) P.Fourn.,(Flgg ex Schrad.) P.Fourn.
Orchidaceae,Serapicamptis,barlae,,,(K.Richt.) J.M.H.Shaw,(K.Richt.) J.M.H.Shaw
Poaceae,Agrotrigia,berelica,,,Kotukhov,Kotukhov
Poaceae,Leymotrigia,bergrothii,,,(H.Lindb.) Tzvelev,(H.Lindb.) Tzvelev
Poaceae,Elyhordeum,berkeleyanum,,,(Bowden) Bowden,(Bowden) Bowden
Orchidaceae,Serapicamptis,bevilacquae,,,(Penz.) J.M.H.Shaw,(Penz.) J.M.H.Shaw
Xanthorrhoeaceae,Astroworthia,bicarinata,,,(Haw.) G.D.Rowley,(Haw.) G.D.Rowley
Poaceae,Triticosecale,blaringhemii,,,A.Camus,A.Camus
Poaceae,Stiporyzopsis,bloomeri,,,(Bol.) B.L.Johnson,(Bol.) B.L.Johnson
Poaceae,Elymotrigia,bobrovica,,,Kotukhov,Kotukhov
Compositae,Carduocirsium,borderei,,,(Rouy) P.Fourn.,(Rouy) P.Fourn.
Compositae,Cirsiocarduus,borderi,,,(Rouy) Arnes,(Rouy) Arnes
Orchidaceae,Gymplatanthera,borelii,,,L.C.Lamb.,L.C.Lamb.
Poaceae,Agroelymus,bowdenii,,,B.Boivin,B.Boivin
Poaceae,Elyhordeum,bowes-lyonii,,,(Melderis) Melderis,(Melderis) Melderis
Poaceae,Festulolium,braunii,,,(K.Richt.) A.Camus,(K.Richt.) A.Camus
Orchidaceae,Pseudanthera,breadalbanensis,,,McKean,McKean
Poaceae,Danthosieglingia,breviaristata,,,(Beck) Domin,(Beck) Domin
Poaceae,Festulolium,brinkmannii,,,(A.Braun) Asch. & Graebn.,(A.Braun) Asch. & Graebn.
Orchidaceae,Pseudorhiza,bruniana,,,(Brgger) P.F.Hunt,(Brgger) P.F.Hunt
Orchidaceae,Pseudorhiza,bulgarica,,,(D.Lindig) O.Gerbaud & W.Schmid,(D.Lindig) O.Gerbaud & W.Schmid
Amaryllidaceae,Calicharis,butcheri,,,(Traub) Meerow,(Traub) Meerow
Poaceae,Elyhordeum,californicum,,,(Bowden) Barkworth,(Bowden) Barkworth
Orchidaceae,Laeliocattleya,calimaniana,,,(L.C.Menezes) Van den Berg,(L.C.Menezes) Van den Berg
Orchidaceae,Serapicamptis,capitata,,,"(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr.","(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr."
Poaceae,Agroelymus,cayouetteorum,,,B.Boivin,B.Boivin
Poaceae,Elyhordeum,chatangense,,,(Roshev.) Tzvelev,(Roshev.) Tzvelev
Poaceae,Elyhordeum,chatangensis,,,(Roshev.) Tzvelev,(Roshev.) Tzvelev
Orchidaceae,Dactylanthera,chevallieriana,,,(E.G.Camus) J.M.H.Shaw,(E.G.Camus) J.M.H.Shaw
Orchidaceae,Gymplatanthera,chodatii,,,"(Lendn. ex Schroet.) E.G.Camus, Bergon & A.Camus","(Lendn. ex Schroet.) E.G.Camus, Bergon & A.Camus"
Compositae,Cirsiocarduus,cirsiformis,,,(Vuk.) Arnes,(Vuk.) Arnes
Poaceae,Bromofestuca,cojocnensis,,,Prodn,Prodn
Poaceae,Agroelymus,colvillensis,,,Lepage,Lepage
Orchidaceae,Serapicamptis,correvonii,,,(E.G.Camus & A.Camus) J.M.H.Shaw,(E.G.Camus & A.Camus) J.M.H.Shaw
Orchidaceae,Serapicamptis,cytherea,,,"(B.Baumann & H.Baumann) H.Kretzschmar, Eccarius & H.Dietr.","(B.Baumann & H.Baumann) H.Kretzschmar, Eccarius & H.Dietr."
Poaceae,Agrotrigia,czernjaewii,,,(irj. & Lavrenko) Sutor,(irj. & Lavrenko) Sutor
Poaceae,Trititrigia,cziczinii,,,Tzvelev,Tzvelev
Poaceae,Pucciphippsia,czukczorum,,,Tzvelev,Tzvelev
Poaceae,Elyhordeum,dakotense,,,(Bowden) Bowden,(Bowden) Bowden
Orchidaceae,Serapicamptis,debeauxii,,,(E.G.Camus) J.M.H.Shaw,(E.G.Camus) J.M.H.Shaw
Compositae,Argyrautia,degeneri,,,Sherff,Sherff
Poaceae,Dupontopoa,dezhnevii,,,Prob.,Prob.
Compositae,Anthematricaria,dominii,,,Rohlena,Rohlena
Poaceae,Calammophila,don-hensonii,,,Reznicek & Judz.,Reznicek & Judz.
Poaceae,Agroelymus,dorei,,,Bowden,Bowden
Orchidaceae,Serapicamptis,ducoroniae,,,(P.Delforge) J.M.H.Shaw,(P.Delforge) J.M.H.Shaw
Orchidaceae,Serapicamptis,duffortii,,,"(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr.","(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr."
Poaceae,Elyhordeum,dutillyanum,,,(Lepage) Bowden,(Lepage) Bowden
Poaceae,Leydeum,dutillyanum,,,(Lepage) Barkworth,(Lepage) Barkworth
Amaryllidaceae,Urceocharis,edentata,,,C.H.Wright,C.H.Wright
Bromeliaceae,Niduregelia,edmundoi,,,(Leme) Leme,(Leme) Leme
Poaceae,Elyhordeum,elymoides,,,(Hack.) Hunz. & Xifreda,(Hack.) Hunz. & Xifreda
Orchidaceae,Dactylodenia,engelii,,,"M.Gerbaud, O.Gerbaud & J.M.Lewin","M.Gerbaud, O.Gerbaud & J.M.Lewin"
Poaceae,Aegilotriticum,erebunii,,,(Gandilyan) van Slageren,(Gandilyan) van Slageren
Orchidaceae,Dactylodenia,ettlingeriana,,,M.J.Clark & L.Lewis,M.J.Clark & L.Lewis
Orchidaceae,Dactylodenia,evansii,,,(Druce) Stace,(Druce) Stace
Rosaceae,Sorbaronia,fallax,,,(C.K.Schneid.) C.K.Schneid.,(C.K.Schneid.) C.K.Schneid.
Orchidaceae,Brassocattleya,felisminiana,,,Campacci,Campacci
Orchidaceae,Pseudorhiza,foelscheorum,,,M.Gerbaud & O.Gerbaud,M.Gerbaud & O.Gerbaud
Orchidaceae,Serapicamptis,fontanae,,,"(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr.","(E.G.Camus) H.Kretzschmar, Eccarius & H.Dietr."
Orchidaceae,Serapicamptis,forbesii,,,Godfery,Godfery
Orchidaceae,Dactylanthera,fournieri,,,(E.Royer) J.M.H.Shaw,(E.Royer) J.M.H.Shaw
Bromeliaceae,Niduregelia,fraudulenta,,,(Leme) Leme,(Leme) Leme
Poaceae,Festulolium,fredericii,,,Cugnac & A.Camus,Cugnac & A.Camus
Orchidaceae,Dactylodenia,fuchsii,,,(G.Keller & So) Peitz,(G.Keller & So) Peitz
Orchidaceae,Myrmecolaelia,fuchsii,,,Hamer ex J.M.H.Shaw,Hamer ex J.M.H.Shaw
Orchidaceae,Serapicamptis,garbariorum,,,(Murr) J.M.H.Shaw,(Murr) J.M.H.Shaw
Compositae,Crepi-Hieracium,garnieri,,,(Petitm.) P.Fourn.,(Petitm.) P.Fourn.
Poaceae,Elymotrigia,gigantea,,,Kotukhov,Kotukhov
Orchidaceae,Cyanthera,glossodioides,,,Hopper & A.P.Br.,Hopper & A.P.Br.
Poaceae,Trisetokoeleria,gorodkovii,,,(Roshev.) Tzvelev,(Roshev.) Tzvelev
Rosaceae,Crataemespilus,grandiflora,,,(Sm.) E.G.Camus,(Sm.) E.G.Camus
Poaceae,Aegilotriticum,grenieri,,,(K.Richt.) P.Fourn.,(K.Richt.) P.Fourn.
Poaceae,Agrotrigia,hajastanica,,,(Tzvelev) Tzvelev,(Tzvelev) Tzvelev
Poaceae,Elysitanion,hansenii,,,(Scribn.) Bowden,(Scribn.) Bowden
Campanulaceae,Fockeanthus,hausmannii,,,(Rchb.f.) Wehrh.,(Rchb.f.) Wehrh.
Compositae,Cirsiocarduus,hohenackeri,,,Arnes,Arnes
Poaceae,Festulolium,holmbergii,,,(Drfl.) P.Fourn.,(Drfl.) P.Fourn.
Lamiaceae,Clinomicromeria,hostii,,,(Caruel) Govaerts,(Caruel) Govaerts
Poaceae,Festulpia,hubbardii,,,Stace & R.Cotton,Stace & R.Cotton
Poaceae,Agroelymus,hultenii,,,Melderis,Melderis
Hypoxidaceae,Rhodoxis,hybrida,,,B.Mathew,B.Mathew
Orchidaceae,Cephalopactis,hybrida,,,(Jv.) Domin,(Jv.) Domin
Rosaceae,Sorbaronia,hybrida,,,(Moench) C.K.Schneid.,(Moench) C.K.Schneid.
Aizoaceae,Carruanthophyllum,hybridum,,,(Haw.) G.D.Rowley,(Haw.) G.D.Rowley
